trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given,shots_fired,shots_fired_total,ship_name,ship_color,lives,level,enemies_on_screen
1,16519,6231,False,10027,17 x 4,68,4 x 17,0.3,1.0,2.0,K966,Y129,True,108.0,1.0,1.0,pointy_boy,green,3.0,1.0,1.0
2,31460,2228,True,10027,17 x 4,68,4 x 17,0.3,1.0,2.0,K966,Y129,True,68.0,6.0,7.0,pointy_boy,['green'],3.0,1.0,1.0
3,37427,2420,True,10020,14 x 5,70,5 x 14,0.3,1.0,2.0,K966,Y129,True,70.0,2.0,9.0,pointy_boy,['green'],3.0,1.0,2.0
4,42309,2830,True,10015,9 x 8,72,8 x 9,0.3,1.0,2.0,K966,Y129,True,72.0,1.0,10.0,pointy_boy,['green'],3.0,2.0,2.0
5,47866,1765,True,10020,14 x 5,70,5 x 14,0.3,1.0,2.0,K966,Y129,True,70.0,1.0,11.0,pointy_boy,['green'],3.0,2.0,1.0
6,58497,11523,True,22,13 x 7,91,7 x 13,0.3,2.0,2.0,K966,Y129,False,91.0,,,,,,,
7,73027,1686,True,22,13 x 7,91,7 x 13,0.3,2.0,2.0,K966,Y129,[False],91.0,,,,,,,
8,77726,2340,True,28,18 x 5,90,5 x 18,0.3,2.0,2.0,K966,Y129,[False],90.0,,,,,,,
9,83092,2113,True,20,13 x 5,65,5 x 13,0.3,2.0,2.0,K966,Y129,[False],65.0,,,,,,,
