trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given
1,2698,1429,False,10,7 x 3,21,3 x 7,0.3,1,1,R790,D623,False,12
2,7138,2031,True,10,7 x 3,21,3 x 7,0.3,1,1,R790,D623,[False],21
3,12184,6374,False,19,13 x 4,52,4 x 13,0.3,1,1,R790,D623,[False],61
4,21580,6964,True,15,7 x 8,56,8 x 7,0.3,1,1,R790,D623,[False],56
5,31568,7239,False,19,13 x 4,52,4 x 13,0.3,1,1,R790,D623,[False],1234
