trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given
1,1848,2035,True,25,18 x 2,36,2 x 18,0.3,1,1,p270,m586,False,36
2,6896,4669,True,7,6 x 8,48,8 x 6,0.3,1,1,p270,m586,[False],48
