trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given
1,18766,1299,False,10,7 x 3,21,3 x 7,0.3,2,2,p210,a312,False,234
2,23072,657,False,10,7 x 3,21,3 x 7,0.3,2,2,p210,a312,[False],15
3,26742,644,False,1,6 x 2,12,2 x 6,0.3,2,2,p210,a312,[False],4567
4,30404,6357,True,31,18 x 8,144,8 x 18,0.3,2,2,p210,a312,[False],144
5,39781,1976,True,1,6 x 2,12,2 x 6,0.3,2,2,p210,a312,[False],12
