trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,group_number,ID_code_1,ID_code_2,is_gamification,answer_given,shots_fired,shots_fired_total,ship_name,ship_color,lives,level,enemies_on_screen
1,12126,463,False,31,17 x 8,136,8 x 17,0.3,1,2,V153,h153,True,23,2,2,pointy_boy,green,3,1,1
2,20010,11206,False,31,17 x 8,136,8 x 17,0.3,1,2,V153,h153,True,146,3,5,pointy_boy,['green'],3,1,3
3,35187,1965,True,17,14 x 2,28,2 x 14,0.3,1,2,V153,h153,True,28,1,6,pointy_boy,['green'],3,1,2
4,40474,1599,True,17,14 x 2,28,2 x 14,0.3,1,2,V153,h153,True,28,3,9,pointy_boy,['green'],3,1,1
5,45655,2031,False,1,8 x 2,16,2 x 8,0.3,1,2,V153,h153,True,9999,1,10,pointy_boy,['green'],3,2,1
6,71713,1249,False,31,17 x 8,136,8 x 17,0.349609375,1,2,V153,h153,True,234,3,3,lord_nelson,['red'],3,1,1
7,79782,1778,True,1,8 x 2,16,2 x 8,0.3,1,2,V153,h153,True,16,2,5,lord_nelson,['red'],3,1,2
8,84436,1929,True,17,14 x 2,28,2 x 14,0.250390625,1,2,V153,h153,True,28,1,6,lord_nelson,['red'],3,1,2
9,90025,4124,True,21,14 x 6,84,6 x 14,0.3,1,2,V153,h153,True,84,1,7,lord_nelson,['red'],3,2,1
