trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,is_gamification,answer_given
1,6732,4546,False,32,18 x 9,162,9 x 18,0.3,1,False,1
2,14291,1397,False,32,18 x 9,162,9 x 18,0.3,1,[False],1
